osEntrezA,osEntrezB
18128,69807
27373,22284
14104,109689
59069,19046
19349,66075
11740,22333
22042,19349
54401,109689
20014,22333
54401,12009
54401,76884
22333,16211
22333,18674
22333,67160
20014,19349
14828,109689
14828,14104
236915,268566
11931,83814
13176,72993
11933,53321
12330,13544
67160,19280
13726,13726
22201,93747
11789,19158
22631,50884
16211,98193
14828,54401
67160,22628
103573,18673
109689,14682
59069,13682
18039,22628
56491,381110
68349,22333
16898,109689
53328,22333
74006,14580
18128,71902
18128,16568
12343,19324
22333,13726
14678,12343
330914,52696
74006,239217
74006,67160
18643,22333
109689,19324
12343,80987
12759,12330
27373,71745
74006,14104
11771,12343
54401,233405
231086,16211
74006,15469
19046,68097
76614,76614
18750,108071
18750,14402
22631,18412
50932,83814
18643,268566
18643,13800
19349,65114
104318,22631
22201,15505
11789,93687
18750,14810
14658,268566
19349,56433
18752,14580
107831,242274
20907,381110
13722,26556
109658,56216
55992,104318
13726,20907
56216,67826
56216,17957
19342,224705
66098,68653
20907,67826
52696,52696
18412,20340
12034,30960
226144,19349
226144,22333
108030,234889
66075,30960
19349,12034
227197,19349
13194,13823
66098,30960
19349,76614
11772,245537
103573,101489
11932,231207
224705,224705
22631,67809
16569,83814
11739,94044
19699,18412
242425,239217
27054,71902
11764,13854
71902,106529
320191,17920
70598,70598
13800,268566
72993,17920
13194,71902
230908,71745
230908,26554
11773,17920
26554,22284
26554,27054
26554,20334
26554,16211
71745,213988
71745,20334
26965,20334
68349,68349
20616,11764
22628,80987
11771,109689
66713,26554
22042,22631
19155,26554
56454,26554
18752,22628
11740,230908
11740,26965
11740,71745
11740,26554
13726,26554
13726,71745
109689,26554
14104,26554
93687,69597
93687,16211
93687,14583
53328,26554
76846,26554
76846,71745
76846,26965
76846,230908
18128,83814
12215,71902
77579,26965
93747,22631
12330,237553
12330,26554
14828,12215
22321,22631
103573,66713
103573,22628
103573,11764
103573,224045
103573,66687
11789,22631
11789,104318
16569,271457
13629,71902
14580,230908
16898,230908
16898,26965
16898,71745
16898,26554
14406,12330
18750,22628
18750,22631
18750,14694
18750,67863
216134,22631
216134,26965
216134,26554
103573,11771
103573,21872
103573,20334
103573,27054
103573,52357
103573,211652
103573,13800
103573,13544
103573,22284
103573,11773
103573,27360
103573,14026
103573,13854
24108,19182
24108,18412
50790,22631
211446,69807
18570,22631
18570,20334
55992,26554
18752,14394
18752,14397
59069,12343
59069,26554
18643,22631
18643,26554
14828,230908
14828,26965
14828,71745
14828,26554
14828,71902
14828,223666
13629,22631
13629,230908
13629,26965
13629,26554
11932,230908
16898,71902
18750,52357
18750,211652
18747,26554
18641,93687
22333,230908
11789,69807
110960,26965
110960,26554
15502,26965
15502,71745
15502,26554
54401,606496
54401,13726
54401,26554
54401,83814
18673,22631
12215,19349
12215,26554
20512,26554
18128,18412
14104,22631
14104,11773
27373,22629
27373,211652
606496,19046
192662,26554
232910,17920
22628,69807
